event_name,type
Gelato making seminar,food
Axe throwing competition,outdoor
Tea ceremony,culture
90s dance party,nightlife
Art walk,arts
Clean the streets,citizenship
Community gardening ,citizenship
Neighborhood parade,outdoor
Theater performance,arts
Outdoor movie night,outdoor
Costume party,nightlife
Get out the vote,citizenship
World culture festival,culture
Museum opening,arts
Artist talk,arts
Gallery opening night,arts
Live digital art show,arts
New exhibition,arts
Regional cuisine festival,food
Pedestrian food fair,food
Recommended restaurant,food
Food truck tasting,food
Chef cooks you dinner,food
